name,surname,URI
SAVERIO SALVATORE,PORCARI,http://dati.camera.it/ocd/persona.rdf/p200765
ALDO,PREDA,http://dati.camera.it/ocd/persona.rdf/p200769
MARCO,PREIONI,http://dati.camera.it/ocd/persona.rdf/p200772
SALVATORE,RAGNO,http://dati.camera.it/ocd/persona.rdf/p200785
FILIPPO,RECCIA,http://dati.camera.it/ocd/persona.rdf/p200792
ADRIANO,OSSICINI,http://dati.camera.it/ocd/persona.rdf/p200674
LODOVICO,PACE,http://dati.camera.it/ocd/persona.rdf/p200677
MARIA GRAZIA,PAGANO,http://dati.camera.it/ocd/persona.rdf/p200680
MARIO,PALOMBO,http://dati.camera.it/ocd/persona.rdf/p200687
ANIELLO,PALUMBO,http://dati.camera.it/ocd/persona.rdf/p200689
ANDREA,PAPINI,http://dati.camera.it/ocd/persona.rdf/p200690
FERDINANDO,PAPPALARDO,http://dati.camera.it/ocd/persona.rdf/p200692
ALESSANDRO,PARDINI,http://dati.camera.it/ocd/persona.rdf/p200693
VITTORIO,PAROLA,http://dati.camera.it/ocd/persona.rdf/p200697
ADRIANA,PASQUALI,http://dati.camera.it/ocd/persona.rdf/p200698
GIANCARLO,PASQUINI,http://dati.camera.it/ocd/persona.rdf/p200699
ANDREA,PASTORE,http://dati.camera.it/ocd/persona.rdf/p200703
RICCARDO,PEDRIZZI,http://dati.camera.it/ocd/persona.rdf/p200709
ENRICO,PELELLA,http://dati.camera.it/ocd/persona.rdf/p200712
GIOVANNI,PELLEGRINO,http://dati.camera.it/ocd/persona.rdf/p200716
PIERO,PELLICINI,http://dati.camera.it/ocd/persona.rdf/p200717
MARCELLO,PERA,http://dati.camera.it/ocd/persona.rdf/p200720
LUIGI CARLO MARIA,PERUZZOTTI,http://dati.camera.it/ocd/persona.rdf/p200729
GIOVANNI LORENZO,FORCIERI,http://dati.camera.it/ocd/persona.rdf/p200404
NICOLA,FUSILLO,http://dati.camera.it/ocd/persona.rdf/p200414
